        Date    |       Issue           |       Description   
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
16/Dec/21 19:21	|  Element_Not_found	|  1st Next_button not found.
16/Dec/21 19:21	|  Upload_Error		|  Unable to locate file/Error in file type. NoSuchWindowException
16/Dec/21 19:21	|  Element_Not_found	|  Unable to locate upload button.
16/Dec/21 19:55	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 19:55	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 19:55	|  Element_Not_found	|  Save button not found.
16/Dec/21 19:56	|  Element_Not_found	|  Unable to locate upload button.
16/Dec/21 19:57	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 19:57	|  Element_Not_found	|  Save button not found.
16/Dec/21 19:57	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 19:57	|  Element_Not_found	|  Save button not found.
16/Dec/21 19:58	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 19:58	|  Element_Not_found	|  Save button not found.
16/Dec/21 19:58	|  Element_Not_found	|  Unable to locate upload button.
16/Dec/21 21:08	|  File_Not_Found	|  'channel_video_data.txt' file not found.(functions.py)
16/Dec/21 21:15	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 21:15	|  Element_Not_found	|  Save button not found.
16/Dec/21 22:48	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 22:48	|  Element_Not_found	|  Save button not found.
16/Dec/21 22:49	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 22:49	|  Element_Not_found	|  Save button not found.
16/Dec/21 22:50	|  Element_Not_found	|  Can't find description textbox.
16/Dec/21 22:50	|  Element_Not_found	|  Save button not found.
17/Dec/21 17:14	|  Download_Error	|  Error! While downloading video. CLEAN Trailer (2022)
17/Dec/21 17:14	|  Download_Error	|  Error! While downloading video. BEING THE RICARDOS Clip - Lucy Ricardo Pregnant (2021)
17/Dec/21 17:14	|  Download_Error	|  Error! While downloading video. THE LOST CITY Trailer (2022) Brad Pitt, Channing Tatum, Sandra Bullock Action Movie
17/Dec/21 17:16	|  Download_Error	|  Error! While downloading video. CLEAN Trailer (2022)
17/Dec/21 17:16	|  Download_Error	|  Error! While downloading video. BEING THE RICARDOS Clip - Lucy Ricardo Pregnant (2021)
17/Dec/21 17:16	|  Download_Error	|  Error! While downloading video. THE LOST CITY Trailer (2022) Brad Pitt, Channing Tatum, Sandra Bullock Action Movie
17/Dec/21 17:22	|  Download_Error	|  Error! While downloading video. Marnik - Up & Down (Official Video)
17/Dec/21 17:31	|  Element_Not_found	|  Can't find description textbox.
17/Dec/21 17:31	|  Element_Not_found	|  Unable to select End_Screen.
17/Dec/21 17:31	|  Element_Not_found	|  Save button not found.
17/Dec/21 17:32	|  Element_Not_found	|  Can't find description textbox.
17/Dec/21 17:32	|  Element_Not_found	|  1st Next_button not found.
17/Dec/21 17:32	|  Upload_Error		|  Unable to locate file/Error in file type. AttributeError
19/Dec/21 00:30	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 00:30	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 00:30	|  Element_Not_found	|  Save button not found.
19/Dec/21 00:31	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 00:32	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 00:32	|  Element_Not_found	|  not_for_kids radio button not found.
19/Dec/21 00:32	|  Element_Not_found	|  Show More button not found.
19/Dec/21 00:32	|  Element_Not_found	|  Can't find tags textbox.
19/Dec/21 00:32	|  Element_Not_found	|  End_Screen_button not found.
19/Dec/21 00:32	|  Element_Not_found	|  Unable to select private/public
19/Dec/21 00:32	|  Element_Not_found	|  3rd Next_button not found.
19/Dec/21 00:32	|  Upload_Error		|  Unable to locate file/Error in file type. WebDriverException
19/Dec/21 00:34	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 01:37	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 20:48	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 20:48	|  Element_Not_found	|  Save button not found.
19/Dec/21 22:37	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 22:38	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 22:38	|  Element_Not_found	|  Save button not found.
19/Dec/21 22:38	|  Element_Not_found	|  Can't find description textbox.
19/Dec/21 22:38	|  Element_Not_found	|  1st Next_button not found.
19/Dec/21 22:38	|  Upload_Error		|  Unable to locate file/Error in file type. NoSuchElementException
21/Dec/21 00:28	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 00:28	|  Element_Not_found	|  Save button not found.
21/Dec/21 00:36	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 00:36	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 00:36	|  Element_Not_found	|  Save button not found.
21/Dec/21 00:37	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 00:37	|  Element_Not_found	|  Save button not found.
21/Dec/21 00:37	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 00:37	|  Element_Not_found	|  Save button not found.
21/Dec/21 14:08	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 14:08	|  Element_Not_found	|  Save button not found.
21/Dec/21 14:09	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 14:09	|  Element_Not_found	|  Save button not found.
21/Dec/21 23:19	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 23:20	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 23:20	|  Element_Not_found	|  Can't find description textbox.
21/Dec/21 23:20	|  Element_Not_found	|  Save button not found.
21/Dec/21 23:20	|  Element_Not_found	|  Unable to select private/public
21/Dec/21 23:20	|  Element_Not_found	|  3rd Next_button not found.
21/Dec/21 23:20	|  Upload_Error		|  Unable to locate file/Error in file type. AttributeError
23/Dec/21 18:56	|  Element_Not_found	|  Can't find description textbox.
23/Dec/21 18:56	|  Element_Not_found	|  Save button not found.
23/Dec/21 18:57	|  Element_Not_found	|  Can't find description textbox.
23/Dec/21 18:57	|  Element_Not_found	|  Save button not found.
23/Dec/21 18:57	|  Element_Not_found	|  Can't find description textbox.
23/Dec/21 18:57	|  Element_Not_found	|  Save button not found.
23/Dec/21 18:58	|  Element_Not_found	|  Can't find description textbox.
23/Dec/21 18:58	|  Element_Not_found	|  Save button not found.
23/Dec/21 21:19	|  Element_Not_found	|  Can't find description textbox.
23/Dec/21 21:19	|  Element_Not_found	|  Save button not found.
23/Dec/21 22:58	|  Element_Not_found	|  Can't find description textbox.
23/Dec/21 22:58	|  Element_Not_found	|  Save button not found.
24/Dec/21 22:57	|  Element_Not_found	|  Can't find description textbox.
24/Dec/21 22:57	|  Element_Not_found	|  Save button not found.
24/Dec/21 22:57	|  Element_Not_found	|  Unable to select private/public
24/Dec/21 22:57	|  Element_Not_found	|  3rd Next_button not found.
24/Dec/21 22:57	|  Upload_Error		|  Unable to locate file/Error in file type. NoSuchElementException
25/Dec/21 13:44	|  Element_Not_found	|  Unable to locate upload button.
